Div,Kode,Lembaga,D_P,D_NP,D_TOTAL,D_CERT_Y,D_CERT_N,D_P_ED_D1,D_P_ED_D2,D_P_ED_D3,D_P_ED_D4,D_P_ED_S1,D_P_ED_S2,D_P_ED_S3,D_P_ED_NONFORM,D_P_ED_INF,D_P_ED_MISC,D_P_ED_SP1,D_P_ED_SP2,D_P_ED_PROF,D_P_ED_NA
N,1001,Universitas Gadjah Mada ,2294,7,2301,1686,618,0,0,0,0,58,1122,985,0,0,0,47,17,7,58
N,1002,Universitas Indonesia ,24,28,2428,1326,107,0,0,0,0,60,992,982,0,0,0,252,96,10,8
N,1003,Universitas Sumatera Utara ,1815,3,1818,1196,617,0,0,0,0,149,1070,330,0,0,0,150,62,52,2
N,1004,Universitas Airlangga ,1649,135,1784,1192,460,0,0,0,0,56,907,480,0,0,1,160,5,11,29
N,1005,Universitas Hasanuddin ,1789,70,1859,1290,500,0,0,0,0,93,804,777,0,0,0,47,3,36,29
N,1006,Universitas Andalas ,148,57,1537,994,492,0,0,0,0,83,820,472,0,0,0,75,5,19,6
N,1007,Universitas Padjadjaran ,1974,20,1994,1443,532,0,0,0,1,94,1139,586,0,0,0,73,12,22,47
N,1008,Universitas Diponegoro ,1754,57,1811,1301,455,0,0,0,0,43,1101,489,0,0,0,59,7,34,21
N,1009,Universitas Sriwijaya ,1262,104,1366,892,376,0,0,0,0,66,833,279,0,0,0,37,9,10,28
N,1010,Universitas Lambung Mangkurat ,1091,6,1097,805,289,0,0,0,0,88,782,185,0,0,0,20,2,1,13
N,1011,Universitas Syiah Kuala ,1565,85,165,1152,419,0,0,0,0,100,1022,355,0,0,0,42,0,22,24
N,1012,Universitas Sam Ratulangi ,1788,12,18,1256,537,0,0,0,0,221,1128,362,0,0,1,43,8,23,2
N,1013,Universitas Udayana ,1671,33,1704,1271,399,0,0,0,0,69,1044,426,0,0,0,76,15,16,25
N,1014,Universitas Nusa Cendana ,928,30,958,684,245,0,0,0,0,83,655,140,0,0,0,4,0,26,20
N,1015,Universitas Mulawarman ,1024,11,1035,711,311,0,0,1,0,81,689,203,0,0,0,5,4,5,36
N,1016,Universitas Mataram ,108,1,1081,832,253,0,0,0,0,40,735,231,0,0,0,18,0,22,34
N,1017,Universitas Riau ,1147,43,119,884,273,0,0,0,1,86,778,238,0,0,0,32,8,2,2
N,1018,Universitas Cenderawasih ,619,3,622,358,262,0,0,0,0,96,443,56,0,0,0,6,0,3,15
N,1019,Universitas Brawijaya ,2004,12,2016,1098,908,0,0,1,5,131,1097,648,0,0,0,81,3,4,34
N,1020,Universitas Jambi ,915,16,931,619,294,0,0,0,0,59,600,146,0,0,0,2,0,0,108
N,1021,Universitas Pattimura ,1142,2,1144,866,285,0,0,0,0,145,826,133,0,0,0,6,1,8,23
N,1022,Universitas Tanjungpura ,974,58,1032,768,207,0,0,0,0,56,655,259,0,0,0,4,0,0,0
N,1023,Universitas Jenderal Soedirman ,1116,4,112,838,279,0,0,0,0,70,781,214,0,0,0,11,0,16,24
N,1024,Universitas Palangka Raya ,786,0,786,609,172,0,0,0,0,108,546,124,0,0,0,0,0,4,4
N,1025,Universitas Jember ,1067,7,1074,817,256,0,0,0,0,36,741,265,0,0,0,11,1,10,3
N,1026,Universitas Lampung ,1221,6,1227,898,314,0,0,0,0,87,773,320,0,0,0,3,3,7,28
N,1027,Universitas Sebelas Maret ,1663,2,1665,1176,494,0,0,1,0,55,1161,383,0,0,0,23,3,19,18
N,1028,Universitas Tadulako ,1282,2,1284,914,369,0,0,0,0,89,843,305,0,0,0,1,1,6,37
N,1029,Universitas Halu Oleo ,1194,9,1203,772,420,0,0,0,0,41,735,252,0,0,0,0,0,9,157
N,1030,Universitas Bengkulu ,744,0,744,614,132,0,0,0,0,31,502,206,0,0,0,0,0,0,5
N,1031,Universitas Terbuka ,711,0,711,537,174,0,0,0,0,74,561,76,0,0,0,0,0,0,0
N,1032,Universitas Negeri Padang ,1059,0,1059,782,293,0,0,0,0,106,730,202,0,0,0,0,0,1,20
N,1033,Universitas Negeri Malang ,953,56,1009,755,201,0,0,0,0,35,561,325,0,0,0,0,0,0,32
N,1034,Universitas Pendidikan Indonesia ,1365,2,1367,112,250,0,0,0,0,70,900,367,0,0,0,0,2,0,26
N,1035,Universitas Negeri Manado ,966,4,970,661,317,0,0,0,0,177,629,146,0,0,0,1,0,0,13
N,1036,Universitas Negeri Makassar ,920,2,922,695,227,0,0,0,0,27,597,272,0,0,0,0,0,0,24
N,1037,Universitas Negeri Jakarta ,980,2,982,710,277,0,0,0,0,68,637,246,0,0,0,1,0,0,28
N,1038,Universitas Negeri Yogyakarta ,1066,13,1079,829,237,0,0,0,0,31,734,293,0,0,0,0,0,1,7
N,1039,Universitas Negeri Surabaya ,976,2,978,718,262,0,0,0,0,30,671,212,0,0,0,2,0,0,61
N,1040,Universitas Negeri Medan ,950,22,972,799,154,0,0,0,0,59,718,171,0,0,0,0,0,0,2
N,1041,Universitas Negeri Semarang ,1056,0,1056,813,244,0,0,0,0,36,793,215,0,0,0,1,0,0,11
N,1042,Universitas Sultan Ageng Tirtayasa ,569,5,574,435,145,0,0,0,0,14,458,97,0,0,0,0,0,0,0
N,1043,Universitas Trunojoyo ,373,0,373,297,76,0,0,0,0,2,297,58,0,0,0,0,0,0,16
N,1044,Universitas Khairun ,542,12,554,392,151,0,0,0,0,31,452,57,0,0,0,0,0,0,2
N,1045,Universitas Papua ,501,1,502,323,178,0,0,0,0,66,356,55,0,0,0,0,0,2,22
N,1046,Universitas Malikussaleh ,488,15,503,340,147,0,0,0,0,36,400,40,0,0,0,3,0,9,0
N,1047,Universitas Negeri Gorontalo ,669,60,729,519,152,0,0,0,1,30,480,149,0,0,0,1,0,3,5
N,1048,Universitas Pendidikan Ganesha ,468,0,468,327,130,0,0,0,0,11,322,124,0,0,0,0,0,0,11
N,1049,Universitas Bangka Belitung ,125,0,125,66,59,0,0,0,0,1,115,6,0,0,0,0,0,0,3
N,1050,Universitas Borneo Tarakan ,182,0,182,73,109,0,0,0,3,19,140,18,0,0,0,0,0,0,2
N,1051,Universitas Musamus Merauke ,261,4,265,61,191,0,0,0,0,94,156,9,0,0,0,0,0,0,2
N,1052,Universitas Maritim Raja Ali Haji (UMRAH) ,134,4,138,64,70,0,0,0,0,5,94,3,0,0,0,0,0,0,32
N,1053,Universitas Samudra ,212,169,381,64,151,0,0,0,0,20,142,3,0,0,0,0,0,0,47
N,1054,Universitas Sulawesi Barat ,166,9,175,3,149,0,0,0,0,48,74,7,0,0,0,0,0,0,37
N,1055,Universitas Sembilanbelas November Kolaka ,94,16,110,8,86,0,0,0,0,19,39,5,0,0,0,0,0,0,31
N,1056,Universitas Tidar ,81,1,82,58,23,0,0,0,0,2,70,9,0,0,0,0,0,0,0
N,1057,Universitas Siliwangi ,293,0,293,169,124,0,0,0,0,8,241,33,0,0,0,0,0,0,11
N,1058,Universitas Teuku Umar ,120,4,124,19,101,0,0,0,0,29,59,1,0,0,0,0,0,0,31
