,cat,dosen,id,mhs,name,prov,url
0,,0,,0,N/A,,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NEI0QjIzQzEtOEUwQy00ODI1LTg5RkEtNzY1NDAxQzVFOUM1
1,Negeri,2442,001001,30795,Universitas Gadjah Mada,Prop. D.I. Yogyakarta,http://forlap.ristekdikti.go.id/perguruantinggi/detail/OEVEMUQwQ0UtRjEyMi00QjM3LUE4NDktMjVGODFCMzM1Mzk1
2,Negeri,2227,001002,46193,Universitas Indonesia,Prop. D.K.I. Jakarta,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MEQxRTYzRTktQ0JGQi00NTQ2LUEyNDItODc1QzMxMDA4M0E1
3,Negeri,1562,001003,2215,Universitas Sumatera Utara,Prop. Sumatera Utara,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QzY2QTlEOTQtNDBDOC00QjcyLUFGQjktNDM4NDczNjRCMUJF
4,Negeri,1649,001004,31190,Universitas Airlangga,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NUFBREYzREYtRDBGOC00QTE3LUJERkQtNjEwOEZDNUNFNDA1
5,Negeri,1769,001005,21567,Universitas Hasanuddin,Prop. Sulawesi Selatan,http://forlap.ristekdikti.go.id/perguruantinggi/detail/REUyQ0Y5MTAtMUI5OC00RTQ4LUE2NjUtNENBOEY2MDA1MjU5
6,Negeri,1491,001006,20131,Universitas Andalas,Prop. Sumatera Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MTgwNENDNjYtQ0IxOS00RTkzLThCM0YtMUFGNzFBRDQ2OUZG
7,Negeri,1853,001007,27260,Universitas Padjadjaran,Prop. Jawa Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QjVGREYzNDctOTMxRC00NkM4LUJCOTUtMjBCN0IxQzhCNUJB
8,Negeri,1670,001008,36208,Universitas Diponegoro,Prop. Jawa Tengah,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NTREMDFCRjMtODI1NS00NzRCLUI5NkQtNDQyNjEzNUVFRDAx
9,Negeri,1258,001009,27658,Universitas Sriwijaya,Prop. Sumatera Selatan,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NEE4MDMzNzMtQzUyMS00RjQ0LTg4RDAtQkUyOEFEQTlFNjdB
10,Negeri,1085,001010,18736,Universitas Lambung Mangkurat,Prop. Kalimantan Selatan,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NzM0MzdDRTAtMTYyRC00RDI0LTg2QkUtRDQxOUY5NTE4NjhE
11,Negeri,1627,001011,26279,Universitas Syiah Kuala,Prop. Aceh,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MEU2MEIxODQtMTI5My00NTI1LThDQzAtNDAwODIwMTJFODMw
12,Negeri,1673,001012,21557,Universitas Sam Ratulangi,Prop. Sulawesi Utara,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RTE4RkZCQkMtMUJEOS00OTQyLTg1RDItMTNCMDIyMkVFMENG
13,Negeri,1626,001013,17465,Universitas Udayana,Prop. Bali,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NEFGNzM0OTgtMzgwMy00RjQ5LUFBNjQtQ0FGODJDNTU0Q0NF
14,Negeri,866,001014,12243,Universitas Nusa Cendana,Prop. Nusa Tenggara Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NDc2RjBCMEItNDhENS00MzhBLTk3MjEtNDFBMUNFQjY0N0Ix
15,Negeri,980,001015,16093,Universitas Mulawarman,Prop. Kalimantan Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RTg5MEVGRDYtRURDMy00NkI5LThERjYtRTlGMjRCRDhFMUEy
16,Negeri,1066,001016,16550,Universitas Mataram,Prop. Nusa Tenggara Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QzE1NkRFRkQtNzgyQS00NTlCLUIxMzQtMjRDNDY0OEE5RDEz
17,Negeri,1120,001017,31782,Universitas Riau,Prop. Riau,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NTUxOEY0OUQtQzk4RS00OUIwLUEzOTQtRTc1NzUzQjAzQzkz
18,Negeri,611,001018,28514,Universitas Cenderawasih,Prop. Papua,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RjJBNjhDMUYtNTE2Qi00QTZELTkyRTQtMzRFNUMxMUJCNjhE
19,Negeri,1912,001019,41707,Universitas Brawijaya,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/OTlBM0I3QUYtNjQ3MC00RDE4LThCMDYtMDk5NDFFNjYzQjA3
20,Negeri,901,001020,14622,Universitas Jambi,Prop. Jambi,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NDg3MTU0NjktQzE2NS00ODJELUI3QkYtODdCOEEyNjhFNUEz
21,Negeri,1095,001021,4763,Universitas Pattimura,Prop. Maluku,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NEU5QUY4MUQtRjczNy00N0RBLTkyRkMtRDJBRTAyNEE5QzM0
22,Negeri,953,001022,26355,Universitas Tanjungpura,Prop. Kalimantan Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RUYyQTU1QjctMUNCOC00MEZDLThEMzctQjExMDQ0MEU0MjVF
23,Negeri,1079,001023,17454,Universitas Jenderal Soedirman,Prop. Jawa Tengah,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MzZBQjRBN0EtMEY3OS00RjZDLTkwNkMtQzMwQTU2MEZCNDQ4
24,Negeri,750,001024,11170,Universitas Palangka Raya,Prop. Kalimantan Tengah,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NThGQ0ZFN0EtQjBEMy00Rjc1LTkwOTktNEVDRjg0MUYzOEVB
25,Negeri,1029,001025,28353,Universitas Jember,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/Qjk1MDdGQUItMjg3NC00RENELTlDMzctNEM5MjFDMjMxMjEw
26,Negeri,1182,001026,22179,Universitas Lampung,Prop. Lampung,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RTJCNzA1QTctMTczRS00NjRBLTlGQUMtNTA5MTI4NzA5NTE1
27,Negeri,1588,001027,29831,Universitas Sebelas Maret,Prop. Jawa Tengah,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NUJGM0FDMUQtMzZGNC00MzM4LUFDMEUtMTA2RDY5N0MzMzAx
28,Negeri,1273,001028,30365,Universitas Tadulako,Prop. Sulawesi Tengah,http://forlap.ristekdikti.go.id/perguruantinggi/detail/OEU1RDE5NUEtMDAzNS00MUFBLUFGRUYtREI3MTVBMzdCOERB
29,Negeri,1299,001029,17314,Universitas Halu Oleo,Prop. Sulawesi Tenggara,http://forlap.ristekdikti.go.id/perguruantinggi/detail/OTBDQzA2QTktODNFNC00REQ4LTlCMDYtRThEMjA1QTBEOUYw
30,Negeri,747,001030,7541,Universitas Bengkulu,Prop. Bengkulu,http://forlap.ristekdikti.go.id/perguruantinggi/detail/Nzc2MEYyNDMtOUI3Ri00Njk5LThGRjMtRjlBNkFCQTE3NEI3
31,Negeri,689,001031,278979,Universitas Terbuka,Prop. D.K.I. Jakarta,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MEY0NjBGOTctNkQ0Ny00RDk2LThBMkEtNDM2MUVBMDRGM0U4
32,Negeri,961,001032,39264,Universitas Negeri Padang,Prop. Sumatera Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MTc4NEI5MjctMzQ3QS00MjVELThEQ0YtN0NFOEZENEUwMDAy
33,Negeri,944,001033,26483,Universitas Negeri Malang,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/N0FDNTEyNjUtRUNDMi00NEQ3LThGQjItNzE3RDNDRjFBQkM1
34,Negeri,1274,001034,30177,Universitas Pendidikan Indonesia,Prop. Jawa Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QkNGNjNCMDctRTcwMi00OTA3LTk2MjEtMjFERDdBRUY3NEI0
35,Negeri,877,001035,15430,Universitas Negeri Manado,Prop. Sulawesi Utara,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RTM0NzU2MjItRDk2NS00NkJBLTg2QTYtM0I4RjhGOEM1MkU3
36,Negeri,894,001036,24016,Universitas Negeri Makassar,Prop. Sulawesi Selatan,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QzZFQUQwN0UtNDMzRi00Q0U4LTk5MkUtNDFBNTBGMkM3MThB
37,Negeri,944,001037,36048,Universitas Negeri Jakarta,Prop. D.K.I. Jakarta,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NTJERDQ0MTEtREREMC00RkU2LUI1RUMtRjZGMzY3REJDRjk3
38,Negeri,1041,001038,24164,Universitas Negeri Yogyakarta,Prop. D.I. Yogyakarta,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QTA0QUFGRjgtNUY4MS00NzU2LUI5MTQtNzNEQ0ZFRDMzOTMy
39,Negeri,955,001039,25270,Universitas Negeri Surabaya,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/Q0IxMTU0QjQtMTBCQS00NzEyLUI5MTYtMzYwNTFCQTdDMzJG
40,Negeri,974,001040,21556,Universitas Negeri Medan,Prop. Sumatera Utara,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RkE4M0E5RkYtNzRCMi00OTM4LTg1NEEtMEY0OTE1RDVBNDFE
41,Negeri,1043,001041,28879,Universitas Negeri Semarang,Prop. Jawa Tengah,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QTU4NTg4QTgtMEY1Mi00RDRELThBQTgtRjgzMjc4QTU2NTU5
42,Negeri,592,001042,9964,Universitas Sultan Ageng Tirtayasa,Prop. Banten,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MkEwREM5RUItMzkyNS00RDY4LTk1NDMtMUYyQjhFREJENUVG
43,Negeri,402,001043,6835,Universitas Trunojoyo,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/Mzk0M0I2QUEtQzJDQy00QkVDLTgxRkItNTg0OTQ3RjkwRTU5
