,jenjang_prodi,jmldosen,jmlmhs,kabkot,kode,nama,status,univ,rcode,subcode
0,S2,6,93,Prop. D.K.I. Jakarta - Indonesia,63101,Ilmu Administrasi Publik,Aktif,Universitas Terbuka,6,63
1,S2,10,56,Prop. D.K.I. Jakarta - Indonesia,61101,Manajemen,Aktif,Universitas Terbuka,6,61
2,S2,7,12,Prop. D.K.I. Jakarta - Indonesia,54142,Manajemen Perikanan,Aktif,Universitas Terbuka,5,54
3,S2,0,0,Prop. D.K.I. Jakarta - Indonesia,88103,Pendidikan Bahasa Inggris,Aktif,Universitas Terbuka,8,88
4,S2,6,0,Prop. D.K.I. Jakarta - Indonesia,86122,Pendidikan Dasar,Aktif,Universitas Terbuka,8,86
5,S2,6,41,Prop. D.K.I. Jakarta - Indonesia,84102,Pendidikan Matematika,Aktif,Universitas Terbuka,8,84
6,S1,44,1137,Prop. D.K.I. Jakarta - Indonesia,54201,Agribisnis,Aktif,Universitas Terbuka,5,54
7,S1,17,4510,Prop. D.K.I. Jakarta - Indonesia,62201,Akuntansi,Aktif,Universitas Terbuka,6,62
8,S1,0,0,Prop. D.K.I. Jakarta - Indonesia,62205,Akuntansi Keuangan Publik,Aktif,Universitas Terbuka,6,62
9,S1,14,173,Prop. D.K.I. Jakarta - Indonesia,46201,Biologi,Aktif,Universitas Terbuka,4,46
10,S1,19,689,Prop. D.K.I. Jakarta - Indonesia,60201,Ekonomi Pembangunan,Aktif,Universitas Terbuka,6,60
11,S1,8,410,Prop. D.K.I. Jakarta - Indonesia,63211,Ilmu Administrasi Bisnis,Aktif,Universitas Terbuka,6,63
12,S1,27,8382,Prop. D.K.I. Jakarta - Indonesia,63201,Ilmu Administrasi Negara,Aktif,Universitas Terbuka,6,63
13,S1,8,2450,Prop. D.K.I. Jakarta - Indonesia,74201,Ilmu Hukum,Aktif,Universitas Terbuka,7,74
14,S1,8,3326,Prop. D.K.I. Jakarta - Indonesia,70201,Ilmu Komunikasi,Aktif,Universitas Terbuka,7,70
15,S1,9,8393,Prop. D.K.I. Jakarta - Indonesia,65201,Ilmu Pemerintahan,Aktif,Universitas Terbuka,6,65
16,S1,7,11041,Prop. D.K.I. Jakarta - Indonesia,71201,Ilmu Perpustakaan,Aktif,Universitas Terbuka,7,71
17,S1,53,11020,Prop. D.K.I. Jakarta - Indonesia,61201,Manajemen,Aktif,Universitas Terbuka,6,61
18,S1,19,228,Prop. D.K.I. Jakarta - Indonesia,44201,Matematika,Aktif,Universitas Terbuka,4,44
19,S1,33,1396,Prop. D.K.I. Jakarta - Indonesia,88201,Pendidikan Bahasa Dan Sastra Indonesia,Aktif,Universitas Terbuka,8,88
20,S1,21,1301,Prop. D.K.I. Jakarta - Indonesia,88203,Pendidikan Bahasa Inggris,Aktif,Universitas Terbuka,8,88
21,S1,22,610,Prop. D.K.I. Jakarta - Indonesia,84205,Pendidikan Biologi,Aktif,Universitas Terbuka,8,84
22,S1,10,733,Prop. D.K.I. Jakarta - Indonesia,87203,Pendidikan Ekonomi,Aktif,Universitas Terbuka,8,87
23,S1,11,318,Prop. D.K.I. Jakarta - Indonesia,84203,Pendidikan Fisika,Aktif,Universitas Terbuka,8,84
24,S1,53,48170,Prop. D.K.I. Jakarta - Indonesia,86207,Pendidikan Guru Pendidikan Anak Usia Dini,Aktif,Universitas Terbuka,8,86
25,S1,136,159578,Prop. D.K.I. Jakarta - Indonesia,86206,Pendidikan Guru Sekolah Dasar,Aktif,Universitas Terbuka,8,86
26,S1,9,171,Prop. D.K.I. Jakarta - Indonesia,84204,Pendidikan Kimia,Aktif,Universitas Terbuka,8,84
27,S1,21,760,Prop. D.K.I. Jakarta - Indonesia,84202,Pendidikan Matematika,Aktif,Universitas Terbuka,8,84
28,S1,26,887,Prop. D.K.I. Jakarta - Indonesia,87205,Pendidikan Pancasila Dan Kewarganegaraan,Aktif,Universitas Terbuka,8,87
29,S1,11,375,Prop. D.K.I. Jakarta - Indonesia,35201,Perencanaan Wilayah Dan Kota,Aktif,Universitas Terbuka,3,35
30,S1,6,1710,Prop. D.K.I. Jakarta - Indonesia,79202,Sastra Inggris,Aktif,Universitas Terbuka,7,79
31,S1,11,633,Prop. D.K.I. Jakarta - Indonesia,69201,Sosiologi,Aktif,Universitas Terbuka,6,69
32,S1,15,239,Prop. D.K.I. Jakarta - Indonesia,49201,Statistika,Aktif,Universitas Terbuka,4,49
33,S1,10,151,Prop. D.K.I. Jakarta - Indonesia,41221,Teknologi Pangan,Aktif,Universitas Terbuka,4,41
34,S1,0,0,Prop. D.K.I. Jakarta - Indonesia,86203,Teknologi Pendidikan,Aktif,Universitas Terbuka,8,86
35,D4,7,1553,Prop. D.K.I. Jakarta - Indonesia,71302,Kearsipan,Aktif,Universitas Terbuka,7,71
36,D3,9,351,Prop. D.K.I. Jakarta - Indonesia,62402,Perpajakan,Aktif,Universitas Terbuka,6,62
37,D2,10,8082,Prop. D.K.I. Jakarta - Indonesia,71501,Perpustakaan,Aktif,Universitas Terbuka,7,71
38,D1,0,0,Prop. D.K.I. Jakarta - Indonesia,46601,Lingkungan,Tutup,Universitas Terbuka,4,46
39,S3,5,15,Kota Jakarta Pusat - Prop. D.K.I. Jakarta - Indonesia,23001,Arsitektur,Aktif,Universitas Indonesia,2,23
40,S3,4,31,Kota Jakarta Pusat - Prop. D.K.I. Jakarta - Indonesia,13021,Epidemiologi,Aktif,Universitas Indonesia,1,13
